Date,ID,Url,Tweet_Content,Username,Reply_Count,Retweet_Count,Language,Source,Like_Count
2023-01-25 03:22:09+00:00,1.61809E+18,https://twitter.com/_spooky_ghost/status/1618086794716938241,"@xQc @elonmusk tried moving out where they still continued to harass me at an apartment I couldn’t afford and she probably sat and watched me not afford the rent, break my lease, and come home to my parents house with massive debt still getting exploited &amp; sexually harassed. But yeah great girl",_spooky_ghost,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:22:08+00:00,1.61809E+18,https://twitter.com/not_a_russian4/status/1618086792460402689,"@RpsAgainstTrump @elonmusk If you don’t like him, then stop giving him money. https://t.co/bx75IlckQE",not_a_russian4,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:22:08+00:00,1.61809E+18,https://twitter.com/meta_rach/status/1618086791084638208,@catandradec @elonmusk https://t.co/C4ftQrCqXD,meta_rach,0,0,qme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:22:05+00:00,1.61809E+18,https://twitter.com/daknls2006/status/1618086780405977090,"Hey @elonmusk this whole ""For You"" and ""Following"" category is bs. It was bad enough our timelines were inundated with ads, now they are split? You are really making me hate Twitter with all these stupid, unnecessary changes!",daknls2006,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:22:05+00:00,1.61809E+18,https://twitter.com/carnipval/status/1618086777847418880,@skytala_ @elonmusk kala mau limit juga om,carnipval,0,0,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:22:04+00:00,1.61809E+18,https://twitter.com/LKPpodcast/status/1618086777172164609,@Tattytats @DrAnitaBEtin @elonmusk Why? To ruin the joke?,LKPpodcast,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:22:01+00:00,1.61809E+18,https://twitter.com/Jimbowars83/status/1618086764685717505,@elonmusk @slashdot Not to mention the collapse of the welfare state.,Jimbowars83,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:22:01+00:00,1.61809E+18,https://twitter.com/Desame_Deivam/status/1618086762060058625,@AsYouNotWish @TurgayEvren1 @ramazanizoltr @Twitter @elonmusk It's considered as casual liberal talk if it's from M!,Desame_Deivam,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:22:00+00:00,1.61809E+18,https://twitter.com/KenBambang/status/1618086756741701633,@mern0k @LogKa11 @elonmusk They say ignorance is bliss,KenBambang,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-01-25 03:21:58+00:00,1.61809E+18,https://twitter.com/Day3Devin/status/1618086752144744451,"@elonmusk why are ad videos the only videos that will play on my twitter? Been like this for a while. non advertisement vids play a couple seconds, then buffers. Until I get sick of waiting for it to download. ad vids continue to play flawlessly..?",Day3Devin,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:21:58+00:00,1.61809E+18,https://twitter.com/cablegirl11/status/1618086750857101312,@elonmusk Great news Elon!,cablegirl11,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:21:58+00:00,1.61809E+18,https://twitter.com/Buzzy_Jones_Jr/status/1618086750597021696,@elonmusk Elon can u unblock the outofshadows link so people can share it again?,Buzzy_Jones_Jr,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:21:58+00:00,1.61809E+18,https://twitter.com/reawakeningtheQ/status/1618086749082902528,@JacabiteRebel @elonmusk #OnsiteAntifa,reawakeningtheQ,0,0,qme,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-01-25 03:21:56+00:00,1.61809E+18,https://twitter.com/Qronben/status/1618086743441559553,@elonmusk @slashdot I'd rather have less people than more honestly,Qronben,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:21:56+00:00,1.61809E+18,https://twitter.com/ChartShark13/status/1618086741411508228,@Oducks123G @elonmusk @ellagirwin @TwitterSupport Thanks Brick ❤️🤝,ChartShark13,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:21:55+00:00,1.61809E+18,https://twitter.com/libtardcreater/status/1618086739100463104,@elonmusk @JudiciaryGOP @SpeakerMcCarthy It’s a good step. But exactly how can they prevent it from happening again? We’ll see.,libtardcreater,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:21:54+00:00,1.61809E+18,https://twitter.com/freittasryck/status/1618086733849198594,@elonmusk I subscribed to twitter blue and my blue badge was not released. It's been a week,freittasryck,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-01-25 03:21:52+00:00,1.61809E+18,https://twitter.com/nohobacon/status/1618086725267623941,"@ericareport @elonmusk That is pretty dumb, while you still haven't reinstated my doppleganger freedom fighter buddy for making a supremely funny joke against the @GOP ... so I am adding #dumandhumourless to your negative attribute list🤣",nohobacon,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-01-25 03:21:51+00:00,1.61809E+18,https://twitter.com/Dinner4Polonia/status/1618086721832513538,@RpsAgainstTrump @elonmusk I’m sure he’d never fold for the Saudis though. Right?,Dinner4Polonia,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
